Postal,Lat,Lon,Address
640633,1.343260813,103.6993343,633 JURONG WEST ST 65
641635,1.342413993,103.6987772,635 JURONG WEST ST 65
642659,1.336907297,103.7019821,659B JURONG WEST ST 65
642273,1.351556337,103.7036275,273B JURONG WEST AVE 3
610177,1.333320452,103.7213087,177 YUNG SHENG RD
640632,1.343957088,103.6998156,632 JURONG WEST ST 65
643648,1.338967611,103.6979498,648C JURONG WEST ST 61
641659,1.336850142,103.7023136,659A JURONG WEST ST 65
642649,1.337966734,103.6981225,649B JURONG WEST ST 61
643659,1.336398275,103.7018633,659C JURONG WEST ST 65
610183,1.333239677,103.7226839,183 YUNG SHENG RD
642662,1.337019505,103.7033882,662B JURONG WEST ST 64
641661,1.335679446,103.7051412,661A JURONG WEST ST 64
610181,1.333692066,103.7219349,181 YUNG SHENG RD
640622,1.340513135,103.6988816,622 JURONG WEST ST 61
640625,1.341520117,103.698797,625 JURONG WEST ST 61
610184,1.333321401,103.7222886,184 YUNG SHENG RD
641651,1.33707182,103.6979383,651A JURONG WEST ST 61
642651,1.337071716,103.6982607,651B JURONG WEST ST 61
641657,1.33541318,103.7002893,657A JURONG WEST ST 65
641674,1.344461337,103.7023153,674A JURONG WEST ST 65
643276,1.35323553,103.7044426,276C JURONG WEST ST 25
641670,1.344097248,103.7028606,670A JURONG WEST ST 65
644276,1.353608838,103.7044931,276D JURONG WEST ST 25
643275,1.353124598,103.7027717,275C JURONG WEST ST 25
643673,1.344712135,103.7013131,673C JURONG WEST ST 65
642276,1.352663872,103.7044481,276B JURONG WEST AVE 3
641672,1.343724747,103.7009391,672A JURONG WEST ST 65
642674,1.345133732,103.7020602,674B JURONG WEST ST 65
642673,1.34439825,103.7016635,673B JURONG WEST ST 65
642275,1.352883726,103.70248,275B JURONG WEST ST 25
642268,1.347494155,103.7079409,268B BOON LAY DR
640637,1.341566764,103.6979704,637 JURONG WEST ST 61
611338,1.337814968,103.7221848,338A TAH CHING RD
614337,1.337332246,103.721601,337D TAH CHING RD
613337,1.337190346,103.722004,337C TAH CHING RD
612337,1.337450347,103.7223956,337B TAH CHING RD
611337,1.337699664,103.7227903,337A TAH CHING RD
612339,1.338180626,103.721189,339B KANG CHING RD
643180,1.34842577,103.7087205,180C BOON LAY DR
641181,1.348618117,103.7082392,181A BOON LAY DR
643183,1.348652357,103.709098,183C BOON LAY AVE
642196,1.34278861,103.7143014,196B BOON LAY DR
644197,1.343607885,103.7138694,197D BOON LAY DR
322104,1.319823545,103.8609797,104 TOWNER RD
321107,1.319795086,103.8604358,107 TOWNER RD
321105,1.320813043,103.8613467,105 TOWNER RD
320107,1.327853327,103.8549937,107 JLN RAJAH
321009,1.323785759,103.8629521,9 ST. GEORGE'S RD
321010,1.32402457,103.8633214,10 ST. GEORGE'S RD
210684,1.314307076,103.8566595,684 RACE COURSE RD
210681,1.313720674,103.8552727,681 RACE COURSE RD
210683,1.314458536,103.8560192,683 TESSENSOHN RD
544309,1.390811104,103.8854962,309D ANCHORVALE RD
541309,1.391704066,103.8861374,309A ANCHORVALE RD
543311,1.391571274,103.8844362,311C ANCHORVALE LANE
542312,1.391734219,103.8854978,312B ANCHORVALE LANE
542311,1.391251984,103.884325,311B ANCHORVALE LANE
544311,1.39185684,103.8847024,311D ANCHORVALE LANE
541313,1.39158552,103.8875199,313A ANCHORVALE RD
542317,1.393862322,103.8885403,317B ANCHORVALE RD
543317,1.393459985,103.8882235,317C ANCHORVALE RD
544157,1.388086614,103.9078891,157D RIVERVALE CRES
543158,1.38818826,103.9071458,158C RIVERVALE CRES
541318,1.393728316,103.889723,318A ANCHORVALE LINK
541317,1.393926392,103.8879582,317A ANCHORVALE RD
542318,1.393828522,103.8889159,318B ANCHORVALE LINK
542157,1.387631064,103.9082329,157B RIVERVALE CRES
542313,1.391348504,103.8880124,313B ANCHORVALE RD
541316,1.392590704,103.889372,316A ANCHORVALE LINK
543316,1.393161626,103.888371,316C ANCHORVALE LINK
543314,1.3914676,103.8889643,314C ANCHORVALE LINK
542316,1.392849379,103.8888208,316B ANCHORVALE LINK
544158,1.38841932,103.9072419,158D RIVERVALE CRES
544318,1.393140498,103.8895097,318D ANCHORVALE LINK
542314,1.391049862,103.8888467,314B ANCHORVALE LINK
542310,1.390904607,103.8846829,310B ANCHORVALE RD
542158,1.38841338,103.9066762,158B RIVERVALE CRES
541314,1.390963468,103.8891468,314A ANCHORVALE LINK
543315,1.392344145,103.8880498,315C ANCHORVALE RD
543318,1.393333571,103.8890002,318C ANCHORVALE LINK
543313,1.391839031,103.8879959,313C ANCHORVALE RD
791413,1.389306806,103.8787293,413A FERNVALE LINK
792408,1.389004274,103.8760691,408B FERNVALE RD
792412,1.389725098,103.8779589,412B FERNVALE LINK
792413,1.389710666,103.8786861,413B FERNVALE LINK
792404,1.388296543,103.873546,404B FERNVALE LANE
792405,1.389002004,103.8736702,405B FERNVALE LANE
791412,1.389231236,103.8779061,412A FERNVALE LINK
792406,1.38842869,103.8743229,406B FERNVALE RD
791406,1.388018983,103.874295,406A FERNVALE RD
